pH,Hardness,Solids,Chlorine,Sulfate,Lead,Mercury,Coliform,Quality
7.76,219.8,926.7,0.025,200.8,0.00229,0.00026,1,Trung bình
7.07,356.8,924.7,0.954,345.2,0.00732,0.00114,2,Trung bình
5.16,152.5,235.8,4.869,190.0,0.00282,0.0038,609,Kém
7.88,104.0,241.0,1.961,59.6,0.01124,7e-05,155,Trung bình
7.18,585.7,183.6,4.863,828.9,0.00018,0.00696,3,Kém
6.72,162.3,384.2,0.728,61.2,0.00342,0.00035,8,Tốt
7.36,101.3,406.3,1.623,82.8,0.00752,0.00091,21,Tốt
7.63,127.0,234.2,1.909,56.6,0.00045,0.00144,14,Tốt
7.0,197.5,368.3,0.504,174.1,0.00561,0.00106,1,Tốt
7.4,212.1,418.7,1.014,97.9,0.00671,0.00145,10,Tốt
7.9,415.5,422.0,0.436,313.9,0.00744,1e-05,166,Trung bình
7.36,212.6,340.0,1.779,187.6,0.00685,0.00072,15,Tốt
6.9,177.8,1689.3,1.768,407.8,0.00161,0.00536,642,Kém
7.14,143.8,952.0,0.77,49.8,0.01282,0.00048,5,Trung bình
5.3,526.2,170.8,0.54,96.4,0.00749,0.00027,590,Kém
7.0,175.4,483.6,0.891,82.7,0.00144,0.00037,3,Tốt
7.41,96.4,292.0,4.444,567.1,0.00429,0.006,241,Kém
7.06,206.2,291.3,1.466,173.4,0.00491,0.00074,8,Tốt
7.79,205.5,242.1,1.134,143.1,0.00257,0.00029,8,Tốt
7.92,367.2,1877.8,4.457,45.6,0.02217,0.00016,6,Kém
6.43,88.1,143.8,1.93,172.9,0.01413,0.0002,159,Trung bình
7.21,178.3,220.4,0.592,210.9,0.00717,3e-05,19,Tốt
6.93,181.4,202.1,0.446,173.2,0.00694,0.00136,12,Tốt
6.31,135.7,2476.9,9.069,189.4,0.00106,0.00016,177,Nguy hiểm
7.03,202.0,769.5,0.056,167.4,0.00192,0.0007,3,Trung bình
7.31,306.1,998.7,0.318,69.1,0.00638,0.00088,13,Trung bình
7.49,217.5,366.7,1.442,207.9,0.16556,0.00321,18,Nguy hiểm
7.41,134.4,1851.5,1.79,69.9,0.00523,0.03112,623,Nguy hiểm
10.21,153.1,265.8,4.855,192.4,0.03526,0.00078,400,Kém
8.89,145.7,353.8,1.211,108.5,0.01209,0.00027,17,Trung bình
6.87,114.0,491.6,1.339,138.4,0.00115,0.00062,23,Tốt
7.88,146.3,1079.6,4.679,105.1,0.02413,0.00747,1,Kém
7.73,416.8,344.0,0.076,131.6,6e-05,0.00021,174,Trung bình
7.68,179.6,415.2,1.857,117.3,0.00728,0.00011,23,Tốt
6.74,120.5,124.7,3.384,1347.2,0.00281,0.00059,3653,Nguy hiểm
6.15,145.3,765.7,0.781,217.2,0.01297,0.0013,13,Trung bình
7.86,205.4,388.2,0.674,145.8,0.00026,0.00032,6,Tốt
5.14,121.8,196.8,1.859,94.0,0.16723,0.00247,3004,Nguy hiểm
4.42,123.2,870.8,7.645,201.5,0.00317,0.00089,1688,Nguy hiểm
6.96,330.6,492.7,1.778,413.0,0.01388,0.0002,9,Trung bình
7.51,128.3,470.3,0.381,70.4,4e-05,0.00018,18,Tốt
5.35,525.5,363.5,1.921,800.7,0.02825,0.00129,14,Kém
7.41,102.4,452.6,0.02,164.8,0.00684,0.00062,71,Trung bình
7.95,198.4,370.9,0.363,98.8,0.00128,0.00147,0,Tốt
7.41,362.7,1965.8,4.699,695.7,0.00142,0.00062,654,Kém
6.78,519.5,381.8,4.643,184.0,0.00037,0.0056,102,Kém
8.14,219.0,146.9,0.528,107.3,0.0039,0.00058,19,Tốt
7.41,204.3,179.2,1.847,48.3,0.00579,0.00088,17,Tốt
6.9,110.5,395.7,1.294,105.4,0.00341,0.0004,23,Tốt
7.82,520.3,364.6,1.815,721.6,0.02678,0.00052,794,Kém
7.96,172.4,192.0,1.614,207.7,0.00587,0.00072,21,Tốt
7.89,599.0,3087.6,0.09,170.6,0.00321,0.03945,5,Nguy hiểm
7.91,137.7,1643.6,4.811,160.9,0.0231,0.00041,116,Kém
8.01,108.1,176.2,7.522,127.2,0.00572,0.01165,5,Nguy hiểm
7.28,150.3,90.9,1.484,219.2,0.00382,0.00133,21,Tốt
5.12,139.2,130.1,4.458,1079.6,0.00155,0.0012,1500,Nguy hiểm
7.85,186.5,889.7,3.383,317.5,0.00169,0.0012,11,Trung bình
8.97,148.7,245.7,1.427,64.1,0.0065,0.01342,23,Nguy hiểm
6.8,129.6,240.8,1.61,327.9,0.01169,0.00063,8,Trung bình
7.62,110.5,195.5,0.524,73.3,0.00101,0.00023,21,Tốt
7.89,172.1,120.5,1.794,200.0,0.00643,0.00149,18,Tốt
6.37,421.1,400.1,0.668,164.2,0.00299,0.00118,1,Trung bình
6.73,195.5,314.6,3.21,215.3,0.00335,0.00137,97,Trung bình
7.26,123.6,381.2,1.955,369.8,0.00086,0.00025,128,Trung bình
7.04,215.9,204.1,0.557,55.5,0.00258,0.00118,1,Tốt
6.71,87.8,290.7,0.349,125.8,0.00794,0.00017,8,Tốt
6.94,137.0,97.6,0.466,106.5,0.00203,0.00125,17,Tốt
7.77,134.7,330.6,1.148,155.5,0.00527,0.00118,20,Tốt
5.2,124.0,2083.7,4.651,74.1,0.00627,0.00789,3,Kém
5.15,993.4,479.3,8.293,138.7,0.00057,0.00149,6,Nguy hiểm
8.12,142.3,282.2,5.837,130.8,0.02694,0.02832,77,Nguy hiểm
8.0,680.4,165.8,0.703,47.4,0.04405,0.0073,354,Kém
7.65,160.5,259.5,0.367,112.1,0.0069,0.00027,18,Tốt
7.34,132.8,1801.3,4.379,81.8,0.02543,0.00053,431,Kém
6.71,132.8,488.5,1.481,85.4,0.00248,0.00061,23,Tốt
7.43,123.5,734.8,0.877,318.8,0.00668,0.00096,17,Trung bình
7.89,89.6,219.2,0.023,87.4,0.01297,0.00109,23,Trung bình
7.56,612.5,1763.7,4.557,93.0,0.00529,0.00132,163,Kém
7.56,193.0,382.3,1.797,108.7,0.00738,0.00047,23,Tốt
5.35,201.4,410.9,0.98,278.5,0.15953,0.00758,16,Nguy hiểm
5.23,609.1,447.2,1.511,384.5,0.00223,0.00016,481,Kém
7.72,524.9,432.3,6.435,77.6,0.00722,0.00016,19,Nguy hiểm
10.88,149.4,256.5,0.029,100.1,0.11704,0.00136,642,Nguy hiểm
8.2,81.9,82.4,1.786,371.3,0.15192,0.00145,14,Nguy hiểm
11.23,82.5,734.3,1.994,85.5,0.00411,0.001,14,Nguy hiểm
8.6,94.3,449.6,5.356,58.9,0.00306,0.00019,16,Nguy hiểm
8.83,164.1,340.5,1.09,370.1,0.00439,1e-05,7,Trung bình
7.61,369.3,1074.2,3.231,133.6,0.0041,0.00087,5,Trung bình
6.08,204.4,255.7,1.418,44.5,0.00602,0.00145,174,Trung bình
7.82,157.5,193.1,0.915,200.7,0.00367,0.00084,24,Tốt
6.91,658.6,216.4,0.371,664.2,0.028,0.00228,729,Kém
8.2,156.5,316.6,1.427,161.1,0.00304,0.00136,15,Tốt
7.5,196.8,262.5,1.6,218.7,0.00489,0.00072,12,Tốt
7.56,108.0,360.4,0.057,306.3,0.01354,0.00075,22,Trung bình
5.11,95.9,466.6,3.323,647.7,0.02956,0.00588,19,Kém
7.99,97.6,364.1,4.263,1090.0,0.00445,9e-05,3,Nguy hiểm
7.73,108.5,427.9,0.755,215.3,0.00759,0.00023,0,Tốt
7.49,153.5,143.6,1.751,188.0,0.00204,0.00108,25,Tốt
8.17,368.9,405.0,0.059,65.9,0.00076,0.00148,17,Trung bình
6.78,113.0,413.0,1.056,103.9,0.01137,0.001,117,Trung bình
6.73,216.1,130.8,3.463,128.3,0.00468,0.00231,25,Trung bình
7.18,715.1,1752.3,4.43,174.5,0.04194,0.00102,18,Kém
6.7,654.6,1096.2,1.736,166.4,0.02768,0.00508,375,Kém
8.03,425.4,1039.6,1.717,98.3,0.00063,0.00131,151,Trung bình
5.24,128.7,977.4,4.521,206.6,0.02834,0.00023,322,Kém
9.77,143.9,2176.5,3.763,543.8,0.00152,0.00054,350,Kém
6.88,331.8,1083.9,0.451,65.8,0.0064,0.00064,139,Trung bình
5.31,602.1,267.4,4.727,162.5,0.00609,0.00456,20,Kém
7.36,89.9,454.1,0.486,105.7,0.00495,0.001,22,Tốt
6.73,216.7,313.9,3.832,354.7,0.00263,0.00116,19,Trung bình
7.61,208.9,274.4,1.532,93.6,0.00079,0.00059,16,Tốt
6.9,176.5,154.8,0.678,45.9,0.00465,0.00032,10,Tốt
7.98,211.6,202.4,9.188,57.2,0.00556,0.00323,7,Nguy hiểm
7.28,171.4,187.2,0.862,173.8,0.00359,0.0008,11,Tốt
7.7,102.2,1011.9,4.03,140.3,0.00626,0.00022,18,Trung bình
7.96,210.2,415.4,1.579,197.4,0.00138,0.00143,3,Tốt
7.98,644.9,124.2,1.571,726.5,0.00438,0.00699,740,Kém
6.75,175.1,200.9,3.271,155.3,0.00298,0.00055,126,Trung bình
5.26,700.4,2173.3,1.631,782.2,0.00334,0.00101,22,Kém
4.29,124.8,311.7,0.041,700.9,0.0027,0.00078,88,Nguy hiểm
5.27,562.1,367.7,0.302,663.1,0.04279,0.00368,5,Kém
7.86,123.8,90.2,0.052,113.8,0.00172,0.00021,3287,Nguy hiểm
7.89,124.2,752.2,0.48,143.2,0.01294,0.00103,4,Trung bình
8.11,168.1,2039.5,0.787,623.9,0.04482,0.00476,6,Kém
7.89,863.7,200.2,1.583,116.3,0.06466,0.03287,25,Nguy hiểm
6.78,125.5,92.4,1.895,202.8,0.00474,0.00092,8,Tốt
7.48,96.8,198.6,1.076,109.0,0.00153,0.00091,10,Tốt
7.86,112.7,1565.3,3.385,582.8,0.0404,0.0008,302,Kém
6.98,113.3,245.1,0.664,194.0,0.00178,0.0005,9,Tốt
5.13,684.4,237.9,4.66,105.3,0.02204,0.00269,6,Kém
7.19,131.7,126.1,1.183,141.0,0.1886,0.00096,500,Nguy hiểm
7.82,111.2,381.6,0.818,126.9,0.00099,0.00027,25,Tốt
6.89,111.7,211.2,0.734,144.6,0.00566,0.0001,22,Tốt
7.58,161.2,374.5,0.453,128.2,0.00232,4e-05,24,Tốt
7.2,168.7,241.9,0.837,191.5,0.00348,0.0011,10,Tốt
7.11,624.1,987.4,4.294,49.3,0.04128,0.00055,276,Kém
7.34,382.3,190.4,0.443,55.0,0.00038,0.00239,9,Trung bình
6.9,169.8,363.1,1.716,154.1,0.0058,0.00063,19,Tốt
6.94,419.9,239.9,0.993,148.3,0.00024,0.00061,168,Trung bình
7.99,163.3,321.0,1.485,125.1,0.0004,0.00071,20,Tốt
7.67,218.8,452.2,1.798,191.0,0.00784,0.00811,3760,Nguy hiểm
7.87,691.5,1997.4,4.542,152.4,0.00405,0.00114,223,Kém
10.22,121.8,1801.8,0.059,189.3,0.03797,0.00025,19,Kém
6.75,127.3,473.2,0.381,614.4,0.1188,0.0081,10,Nguy hiểm
8.04,119.4,355.7,0.682,128.2,0.00251,0.00139,5,Tốt
5.34,174.8,337.5,4.413,779.0,0.00715,0.00732,22,Kém
7.49,711.9,1717.3,1.249,134.4,0.0024,0.0059,640,Kém
8.1,598.6,98.2,1.041,773.2,0.03511,0.00042,3,Kém
7.08,417.0,393.0,0.023,156.4,0.00403,0.00258,16,Trung bình
7.19,133.2,165.8,3.197,62.0,0.00321,0.00139,135,Trung bình
7.35,80.5,2575.5,1.383,1393.8,0.00695,0.00061,2514,Nguy hiểm
8.06,81.7,178.1,1.99,145.8,0.0029,0.00019,11,Tốt
4.73,208.0,243.5,1.677,1173.2,0.01345,0.001,17,Nguy hiểm
5.32,578.2,1874.3,0.853,88.4,0.00731,1e-05,7,Kém
6.97,967.7,487.4,0.481,1286.9,0.11827,0.00086,16,Nguy hiểm
7.33,82.2,431.4,1.223,175.9,0.00298,0.00048,19,Tốt
7.88,680.6,427.9,4.242,139.7,0.00358,0.04644,1,Nguy hiểm
7.43,167.0,434.3,4.507,106.8,0.00657,0.04329,590,Nguy hiểm
9.9,152.8,443.8,0.38,518.4,0.00322,0.00262,501,Kém
5.38,185.8,499.8,9.154,58.3,0.00242,0.00144,17,Nguy hiểm
4.49,352.8,382.9,4.68,98.6,0.02448,0.00109,22,Nguy hiểm
7.26,122.1,430.0,1.37,217.6,0.00527,0.00378,173,Trung bình
7.34,114.4,293.7,0.535,47.3,0.00209,0.00101,6,Tốt
8.19,195.5,414.0,1.351,150.9,0.00319,0.01206,3184,Nguy hiểm
7.48,89.6,497.2,0.386,367.3,0.01071,0.00102,167,Trung bình
5.36,207.1,164.0,4.207,771.3,0.00092,0.0,792,Kém
7.4,176.8,947.8,1.171,156.3,0.00233,0.00367,7,Trung bình
8.17,208.0,987.4,0.672,189.7,0.00628,0.0023,6,Trung bình
7.28,137.9,363.9,0.82,85.0,0.00229,0.00771,4996,Nguy hiểm
7.19,110.0,387.3,1.304,1221.7,0.09404,0.03922,16,Nguy hiểm
6.94,89.5,421.7,1.191,103.4,0.00646,0.00054,16,Tốt
7.9,169.6,352.0,0.634,99.5,2e-05,0.00054,16,Tốt
7.69,534.8,128.7,3.407,576.6,0.0232,0.00526,1,Kém
6.35,189.3,224.8,0.345,191.7,0.00701,0.00356,13,Trung bình
6.16,160.6,107.0,1.356,214.8,0.01069,0.00367,16,Trung bình
11.27,672.1,101.7,0.56,602.8,0.01233,0.00145,6,Nguy hiểm
7.71,127.8,301.1,0.372,210.6,0.00222,0.00095,16,Tốt
7.41,308.8,306.7,0.778,63.5,0.00534,0.00079,179,Trung bình
5.39,177.0,393.8,4.22,162.5,0.00399,0.00652,377,Kém
7.23,206.9,349.8,1.601,513.4,0.01812,0.00816,3,Kém
6.83,151.8,359.7,1.958,91.1,0.007,0.00084,23,Tốt
4.69,922.1,167.1,7.38,198.9,0.09334,9e-05,16,Nguy hiểm
8.97,120.2,352.9,1.943,269.7,0.0033,0.00098,18,Trung bình
8.15,136.2,229.1,1.059,191.8,0.00156,0.00072,14,Tốt
8.12,203.3,104.9,1.688,198.0,0.00613,0.00134,14,Tốt
7.44,136.9,124.7,1.718,141.2,0.00481,0.00023,9,Tốt
8.57,126.0,346.4,7.363,113.1,0.00336,0.00797,0,Nguy hiểm
7.33,321.6,190.5,0.331,286.1,0.00159,0.00264,3,Trung bình
6.82,142.1,88.5,0.404,211.3,0.00685,0.00145,23,Tốt
7.19,424.4,444.2,0.342,118.1,0.00403,0.00033,126,Trung bình
9.67,686.9,344.8,1.127,623.4,0.03415,0.00079,10,Kém
9.89,173.4,395.7,4.575,97.2,0.01946,0.00111,791,Kém
7.82,629.2,195.1,1.552,176.8,0.00728,0.00036,1165,Nguy hiểm
7.99,331.9,2559.4,0.556,90.0,0.00206,0.00122,1912,Nguy hiểm
6.4,195.6,385.6,0.64,162.4,0.01079,5e-05,170,Trung bình
9.99,141.3,900.8,4.498,755.6,0.01604,0.00025,22,Kém
5.19,135.5,160.2,6.4,98.8,0.00681,0.00135,7,Nguy hiểm
8.11,82.1,93.6,0.782,133.1,0.0009,0.0011,11,Tốt
7.16,104.0,215.3,0.068,1314.2,0.00457,0.0182,126,Nguy hiểm
9.98,86.1,481.3,4.792,79.1,0.02863,0.00102,764,Kém
10.26,201.1,379.3,4.269,166.2,0.0061,0.00597,605,Kém
8.07,109.2,453.2,1.588,209.6,0.01852,0.0054,371,Kém
8.67,182.0,916.9,3.512,69.2,0.00017,0.0005,12,Trung bình
5.18,625.9,299.8,4.451,788.5,0.00475,0.00082,9,Kém
7.26,108.0,195.0,1.246,203.7,0.0002,3e-05,9,Tốt
4.11,100.9,337.2,0.897,70.0,0.00545,0.00263,23,Nguy hiểm
9.71,691.9,1587.7,1.195,773.6,0.00311,0.00051,8,Kém
7.66,186.8,358.9,1.927,191.5,0.00772,0.00066,14,Tốt
7.59,117.5,466.3,0.736,1084.5,0.01078,0.00098,1,Nguy hiểm
8.2,129.5,196.9,1.736,70.0,0.0004,0.00045,14,Tốt
7.22,119.4,119.6,1.099,111.7,0.005,0.00073,6,Tốt
7.59,173.0,138.4,0.489,57.5,0.00788,0.00041,19,Tốt
10.17,519.4,132.0,1.383,102.2,0.00443,0.00093,263,Kém
3.96,175.6,782.6,4.39,190.5,0.05964,0.00092,0,Nguy hiểm
5.16,124.5,257.6,0.02,577.8,0.03513,0.00083,16,Kém
7.02,91.7,115.7,0.565,46.9,0.00627,0.00043,2,Tốt
7.81,208.9,458.0,1.205,92.8,0.17067,0.00033,145,Nguy hiểm
7.99,210.7,777.7,1.603,213.0,0.0056,5e-05,134,Trung bình
6.93,105.0,134.4,1.693,138.4,0.00562,0.0008,14,Tốt
7.34,217.4,156.5,4.094,107.1,0.003,0.00147,3797,Nguy hiểm
10.13,176.0,480.2,3.451,107.0,0.12112,0.00069,1930,Nguy hiểm
7.28,419.5,247.8,0.349,115.7,0.01329,0.00327,15,Trung bình
6.75,584.0,223.1,0.554,72.5,0.03612,0.00036,594,Kém
9.98,353.3,1851.5,4.694,828.9,0.00035,0.00108,13,Kém
9.62,185.0,314.5,1.494,45.7,0.00041,0.00063,2478,Nguy hiểm
11.82,128.2,301.6,0.421,715.2,0.00758,0.00287,10,Nguy hiểm
7.06,95.9,256.4,1.89,196.7,0.00372,5e-05,21,Tốt
7.62,140.8,338.9,8.603,164.0,0.00125,0.00732,12,Nguy hiểm
6.75,358.2,125.0,3.396,320.7,0.00212,0.00071,17,Trung bình
7.8,218.1,743.5,0.457,70.5,0.00215,0.0025,170,Trung bình
7.17,205.1,316.1,0.456,207.2,0.00032,0.0014,17,Tốt
7.6,84.9,907.2,0.059,104.1,0.00443,0.04749,2714,Nguy hiểm
5.42,626.7,277.5,0.707,712.0,0.00305,0.00877,15,Kém
8.0,179.9,128.3,4.891,146.0,0.00318,0.00721,4877,Nguy hiểm
7.62,95.2,2103.9,4.639,631.4,0.00138,0.00451,3,Kém
7.57,569.0,1543.4,0.837,559.5,0.0052,0.00074,12,Kém
7.21,608.8,479.2,4.706,158.5,0.00062,0.00675,179,Kém
7.05,87.8,2179.1,0.456,546.5,0.02378,0.00044,651,Kém
6.76,80.8,1006.5,1.621,148.8,0.10141,0.03578,4710,Nguy hiểm
5.27,563.0,1962.1,0.623,210.3,0.0058,0.00057,795,Kém
7.68,103.0,1037.9,1.136,333.0,0.01133,0.0013,8,Trung bình
7.63,154.1,334.6,1.604,73.8,4e-05,0.00084,3,Tốt
6.97,127.9,433.7,1.636,52.8,0.00174,0.0005,3,Tốt
6.21,120.0,120.5,1.678,56.3,0.00094,0.00371,3,Trung bình
7.79,110.6,179.0,1.634,126.2,0.0027,0.001,5,Tốt
3.76,172.4,145.6,1.896,174.9,0.01087,0.01595,6,Nguy hiểm
6.92,209.2,470.9,1.362,119.4,5e-05,0.00073,16,Tốt
7.87,163.1,206.2,4.109,194.8,0.01198,0.00145,9,Trung bình
7.05,200.9,453.6,0.485,171.2,0.00765,0.0014,5,Tốt
9.92,540.3,138.8,1.62,105.7,0.02516,0.00014,3,Kém
10.11,599.0,269.7,4.95,59.7,0.00548,0.00102,559,Kém
7.08,154.6,420.6,1.82,45.4,0.00249,0.00054,15,Tốt
7.87,641.5,186.2,1.906,66.6,0.00392,0.00753,802,Kém
6.06,375.5,302.9,0.853,100.0,0.01209,0.02165,19,Nguy hiểm
7.97,114.3,238.7,0.37,56.4,0.00756,0.00055,20,Tốt
11.31,109.3,143.1,0.379,114.3,0.18025,0.0339,509,Nguy hiểm
7.95,175.9,203.3,0.986,1134.4,0.01325,0.00099,3,Nguy hiểm
5.18,347.4,178.8,4.553,60.6,0.0009,0.00858,0,Kém
7.11,189.3,257.1,7.65,1067.6,0.00359,0.01654,9,Nguy hiểm
7.16,218.4,733.4,0.077,70.7,0.01444,0.00115,10,Trung bình
6.91,117.0,206.6,0.078,65.1,0.01355,0.00024,145,Trung bình
7.98,132.4,90.2,1.026,54.7,0.00419,0.00038,25,Tốt
5.31,426.6,2000.8,1.828,773.8,0.03914,0.00105,14,Kém
8.01,84.7,255.1,1.227,106.8,0.00032,0.00135,19,Tốt
7.09,711.4,321.0,4.237,793.2,0.00164,0.00336,17,Kém
8.57,86.5,101.4,0.07,75.1,0.00477,0.00079,5,Trung bình
9.71,200.9,316.6,0.944,49.8,0.04094,0.00616,561,Kém
11.98,176.0,369.6,1.768,642.8,0.00639,0.0004,20,Nguy hiểm
7.55,565.9,1902.0,4.504,155.5,0.00091,0.00627,59,Kém
7.74,365.2,332.9,0.026,273.3,0.00695,4e-05,12,Trung bình
8.1,179.8,217.5,1.12,47.1,0.00523,0.00067,14,Tốt
8.18,165.2,113.1,0.439,104.5,0.00455,8e-05,7,Tốt
7.43,196.5,177.4,0.958,285.0,0.00471,0.00274,165,Trung bình
7.0,159.0,911.8,0.058,160.1,0.00154,0.0009,7,Trung bình
7.64,207.9,366.9,1.743,83.4,0.00681,1e-05,20,Tốt
7.78,310.4,853.7,4.124,92.0,0.00138,0.00051,2,Trung bình
9.87,109.6,86.7,1.165,812.3,0.02643,0.00083,24,Kém
7.08,175.1,117.7,1.621,70.1,0.00213,0.00124,3,Tốt
7.32,136.0,260.7,3.237,83.3,0.00277,0.00046,147,Trung bình
4.78,177.4,810.7,0.827,404.7,0.00525,0.0013,2,Nguy hiểm
6.85,127.9,882.9,4.603,71.6,0.02716,0.00517,471,Kém
8.03,131.0,826.9,0.406,158.6,0.00178,4e-05,159,Trung bình
8.05,172.5,494.3,0.751,50.5,0.00693,0.00112,16,Tốt
7.2,83.4,476.4,1.984,105.5,0.00609,0.00053,14,Tốt
5.18,523.6,354.7,1.398,152.4,0.02219,0.00128,806,Kém
7.63,148.6,222.7,0.34,115.4,0.00143,0.00116,19,Tốt
6.4,169.8,262.9,0.411,179.1,0.12326,0.00134,14,Nguy hiểm
5.19,157.2,159.2,4.481,112.2,0.00206,0.02678,23,Nguy hiểm
8.18,204.2,385.0,0.345,213.3,0.0048,0.00128,13,Tốt
7.87,326.9,465.7,1.942,186.1,0.00271,0.00256,11,Trung bình
6.1,215.4,153.1,1.106,177.8,0.00785,0.00093,150,Trung bình
7.46,173.3,2650.8,9.897,375.0,0.00323,0.02203,17,Nguy hiểm
8.92,419.8,340.3,1.1,57.9,0.00096,0.00056,7,Trung bình
8.18,135.9,183.7,1.159,63.8,0.00742,0.00017,18,Tốt
5.45,211.6,1704.2,1.259,676.4,0.02348,0.0001,1,Kém
4.43,95.0,191.4,8.644,510.4,0.00707,0.00072,2163,Nguy hiểm
9.69,159.3,266.5,1.721,64.1,0.02814,0.00456,2,Kém
8.04,123.9,413.2,1.645,214.1,0.00689,0.00011,13,Tốt
7.42,142.7,425.8,0.504,212.9,0.00166,0.00026,7,Tốt
7.0,175.4,1743.4,0.066,139.8,0.00112,0.00792,233,Kém
7.69,82.4,406.2,0.401,208.2,0.01054,0.00352,11,Trung bình
7.82,153.9,189.4,1.288,134.5,0.00782,0.00043,19,Tốt
7.81,150.3,324.0,9.468,1352.2,0.0948,0.00134,11,Nguy hiểm
10.28,196.5,354.9,1.062,132.4,0.01993,0.00523,478,Kém
9.8,563.2,447.9,1.538,387.6,0.00361,0.00889,0,Kém
7.4,174.7,230.0,0.806,58.0,0.00632,0.00112,7,Tốt
11.56,201.9,415.9,1.758,155.8,0.02031,0.00114,7,Nguy hiểm
6.79,611.8,231.1,1.303,1358.6,0.01168,0.0008,3023,Nguy hiểm
9.06,98.2,280.6,3.985,175.6,0.00083,0.00071,20,Trung bình
7.02,106.1,120.7,1.809,79.5,0.0077,0.00234,149,Trung bình
4.5,170.9,403.8,6.274,1354.2,0.00612,0.00466,7,Nguy hiểm
7.1,174.2,472.1,0.994,1136.1,0.09166,0.00137,115,Nguy hiểm
6.97,809.4,93.6,1.019,199.6,0.00641,0.02808,102,Nguy hiểm
7.43,198.1,452.2,1.083,46.8,0.00432,0.00013,5,Tốt
7.49,553.8,2185.4,0.915,641.7,0.01136,0.00145,726,Kém
7.46,172.4,98.9,4.407,158.9,0.03421,0.00658,620,Kém
7.23,195.4,388.4,0.081,87.2,0.00336,0.0032,164,Trung bình
9.76,685.8,358.9,4.742,151.8,0.01148,0.00553,15,Kém
7.24,712.4,314.6,4.236,826.6,0.04456,0.00106,20,Kém
11.44,214.8,246.7,4.72,144.8,0.00737,0.00072,21,Nguy hiểm
7.95,113.9,824.4,0.71,331.9,0.01376,0.00111,22,Trung bình
6.75,99.2,2366.8,1.399,1206.0,0.01812,0.0206,15,Nguy hiểm
7.53,166.2,997.4,0.324,295.5,0.00047,0.00041,15,Trung bình
7.84,679.6,277.6,4.888,166.5,0.02345,0.00816,2,Kém
6.81,135.9,292.1,0.481,218.0,0.0072,0.00662,4159,Nguy hiểm
4.14,408.4,338.1,0.414,99.2,0.00622,0.00142,1,Nguy hiểm
8.15,600.1,128.7,4.564,125.6,0.02865,0.00066,558,Kém
6.81,217.5,907.4,1.652,82.5,0.00623,0.0028,24,Trung bình
6.15,165.9,882.9,0.36,188.7,0.00164,0.00109,14,Trung bình
9.69,171.1,274.9,4.593,198.2,0.0418,0.00117,171,Kém
6.8,185.1,140.0,0.056,386.4,0.00422,0.00368,23,Trung bình
7.35,337.1,409.6,7.562,111.5,0.00404,0.00078,13,Nguy hiểm
7.07,618.0,1898.1,1.247,88.0,0.02423,0.00052,684,Kém
7.47,145.9,96.3,0.752,126.6,0.00411,0.00048,21,Tốt
8.64,122.3,748.2,0.911,53.6,0.00549,0.00114,19,Trung bình
4.87,191.6,436.9,4.296,146.4,0.00669,0.0007,22,Nguy hiểm
